YEAR,DOY,T2M_MAX,T2M_MIN,T2MDEW,PRECTOTCORR,RH2M,WS2M,GWETPROF,GWETTOP
1994,29,30.21,14.76,11.46,0.0,57.97,1.7,0.62,0.55
1994,30,29.08,11.47,7.35,0.0,51.19,1.7,0.61,0.55
1994,31,28.54,11.12,5.18,0.0,45.95,1.8,0.61,0.54
1994,32,28.8,10.44,4.1,0.0,43.49,1.56,0.61,0.54
1994,33,29.5,11.51,1.68,0.0,33.1,2.96,0.6,0.53
1994,34,29.87,12.17,3.93,0.0,36.14,2.4,0.6,0.52
1994,35,30.31,11.96,7.66,0.0,46.58,1.8,0.6,0.52
1994,36,29.53,15.49,10.55,0.0,54.02,1.96,0.59,0.51
1994,37,30.25,13.91,11.68,0.0,58.58,1.64,0.59,0.51
1994,38,30.3,15.33,11.26,0.0,57.85,1.97,0.59,0.5
1994,39,27.06,13.05,10.67,0.0,64.84,2.2,0.59,0.5
1994,40,28.12,9.87,3.4,0.0,41.7,1.81,0.59,0.5
1994,41,29.85,10.23,7.3,0.0,50.83,2.46,0.58,0.49
1994,42,28.79,13.38,8.65,0.0,56.48,1.75,0.58,0.48
1994,43,30.24,10.86,6.4,0.0,49.49,1.71,0.58,0.48
1994,44,30.97,13.45,8.95,0.0,54.86,1.7,0.58,0.47
1994,45,30.53,12.66,8.91,0.0,54.12,2.09,0.57,0.47
1994,46,30.18,13.7,11.52,0.0,61.79,2.11,0.57,0.47
1994,47,30.26,14.53,10.6,0.0,57.22,1.77,0.57,0.46
1994,48,31.61,13.32,9.34,0.0,50.04,1.97,0.57,0.46
1994,49,30.89,15.34,7.65,0.0,44.25,2.01,0.56,0.45
1994,50,31.04,14.82,10.12,0.0,54.7,1.97,0.56,0.45
1994,51,28.87,13.05,13.93,0.0,73.93,2.56,0.56,0.45
1994,52,25.93,12.4,13.02,0.0,74.75,3.37,0.56,0.45
1994,53,26.65,10.07,9.58,0.0,66.34,2.29,0.56,0.45
1994,54,31.46,10.16,4.9,0.0,44.64,1.9,0.56,0.44
1994,55,33.15,11.68,3.27,0.0,36.17,1.74,0.55,0.43
1994,56,33.62,13.56,3.13,0.0,32.52,1.96,0.55,0.42
1994,57,34.04,13.65,2.29,0.0,31.2,1.81,0.55,0.42
1994,58,34.26,14.24,1.9,0.0,29.51,1.82,0.55,0.41
1994,59,34.39,14.25,4.65,0.0,35.69,2.04,0.55,0.41
1994,60,34.45,14.08,4.04,0.0,34.42,2.02,0.54,0.41
1994,61,34.82,14.95,5.09,0.0,35.48,1.5,0.54,0.4
1994,62,35.37,17.14,8.69,0.0,40.34,1.67,0.54,0.4
1994,63,35.18,16.29,9.17,0.0,42.43,1.84,0.54,0.4
1994,64,35.53,16.71,6.83,0.0,35.6,1.96,0.54,0.39
1994,65,35.74,17.71,6.8,0.0,33.99,2.07,0.53,0.39
1994,66,35.25,17.45,5.69,0.0,32.99,2.4,0.53,0.38
1994,67,35.69,16.46,2.88,0.0,26.89,2.47,0.53,0.38
1994,68,36.78,15.76,2.6,0.0,26.64,1.94,0.53,0.38
1994,69,37.13,17.06,2.54,0.0,25.36,2.21,0.53,0.37
1994,70,36.51,19.19,3.58,0.0,28.73,2.45,0.52,0.37
1994,71,37.48,18.48,5.16,0.0,33.95,1.84,0.52,0.37
1994,72,38.72,16.84,5.57,0.0,33.93,1.84,0.52,0.36
1994,73,38.63,19.0,4.83,0.0,27.82,2.16,0.52,0.36
1994,74,39.04,18.57,5.06,0.0,28.65,1.5,0.52,0.35
1994,75,39.24,18.37,9.1,0.0,33.31,1.31,0.52,0.35
1994,76,39.54,20.17,10.81,0.0,37.61,1.93,0.51,0.34
1994,77,39.72,19.76,11.4,0.0,43.31,1.4,0.51,0.34
1994,78,39.13,20.85,12.68,0.0,47.49,2.48,0.51,0.33
1994,79,35.54,21.2,17.33,0.0,60.31,2.51,0.51,0.34
1994,80,37.21,20.67,12.51,0.0,48.3,2.91,0.51,0.34
1994,81,36.55,18.62,5.26,0.0,30.52,2.61,0.51,0.32
1994,82,39.41,18.39,4.02,0.0,26.02,2.32,0.51,0.31
1994,83,38.05,18.77,2.98,0.0,25.22,2.7,0.51,0.3
1994,84,38.67,17.98,3.22,0.0,26.03,2.72,0.51,0.29
1994,85,39.27,19.16,4.72,0.0,26.66,2.57,0.5,0.28
1994,86,39.2,18.83,6.09,0.0,29.2,2.57,0.5,0.28
1994,87,39.81,21.16,6.28,0.0,29.85,1.84,0.5,0.27
1994,88,40.26,19.85,6.0,0.0,28.14,2.13,0.5,0.26
1994,89,40.25,20.2,12.04,0.0,43.8,2.14,0.5,0.26
1994,90,38.7,21.6,11.17,0.0,40.95,2.82,0.5,0.25
1994,91,36.25,18.75,12.99,0.0,52.19,2.83,0.5,0.25
1994,92,35.62,19.29,14.21,0.0,56.69,3.17,0.5,0.26
1994,93,36.18,18.05,11.12,0.0,50.6,2.6,0.5,0.26
1994,94,38.08,18.98,9.9,0.0,40.68,1.88,0.5,0.25
1994,95,37.7,20.18,10.21,0.05,39.95,2.37,0.5,0.24
1994,96,36.54,18.74,13.29,0.31,49.32,2.49,0.5,0.25
1994,97,36.07,20.45,12.7,0.34,48.16,2.18,0.5,0.25
1994,98,36.96,19.37,13.34,0.84,48.52,1.64,0.5,0.28
1994,99,33.31,22.65,14.92,5.07,48.75,1.23,0.5,0.35
1994,100,34.15,20.74,16.4,4.32,56.46,1.46,0.5,0.48
1994,101,35.15,20.12,14.63,0.84,53.46,1.78,0.5,0.46
1994,102,34.59,19.35,14.13,0.99,50.02,1.08,0.5,0.42
1994,103,36.05,20.47,14.75,0.08,49.21,1.73,0.5,0.39
1994,104,36.96,20.86,14.75,0.0,45.06,1.65,0.5,0.36
1994,105,37.33,22.83,15.52,0.37,43.86,1.65,0.5,0.33
1994,106,39.07,23.01,14.53,0.37,42.24,2.19,0.5,0.32
1994,107,36.83,21.0,14.06,0.07,49.01,2.81,0.5,0.31
1994,108,36.62,19.12,12.87,0.0,52.33,2.81,0.5,0.29
1994,109,36.38,17.38,11.87,0.0,51.46,2.88,0.5,0.28
1994,110,36.9,18.51,14.63,0.0,54.29,3.11,0.5,0.27
1994,111,36.17,19.14,13.17,0.0,51.08,3.24,0.49,0.26
1994,112,36.31,19.65,14.68,0.0,53.77,3.23,0.49,0.25
1994,113,36.87,19.19,14.12,0.0,53.72,2.92,0.49,0.25
1994,114,36.68,20.03,13.26,0.0,53.41,3.09,0.49,0.24
1994,115,36.33,18.7,13.59,0.0,52.61,3.09,0.49,0.24
1994,116,37.84,19.65,13.72,0.0,51.1,2.69,0.49,0.23
1994,117,39.58,18.71,10.74,0.0,42.29,2.65,0.49,0.22
1994,118,39.31,20.14,7.86,0.0,33.69,2.81,0.49,0.22
1994,119,38.28,19.48,12.23,0.01,47.85,2.85,0.49,0.21
1994,120,37.29,19.68,14.23,0.0,52.98,3.27,0.49,0.21
1994,121,35.51,21.51,16.35,0.04,56.12,2.36,0.49,0.2
1994,122,33.36,21.5,17.0,17.31,59.01,2.54,0.5,0.45
1994,123,34.22,20.16,18.12,0.0,64.16,2.17,0.51,0.49
1994,124,35.76,20.77,16.85,0.0,59.85,2.74,0.5,0.45
1994,125,35.92,19.07,14.45,0.0,56.37,2.9,0.5,0.43
1994,126,36.16,19.07,14.4,0.0,54.79,3.13,0.5,0.4
1994,127,36.59,21.09,16.74,0.0,59.0,3.49,0.5,0.37
1994,128,35.47,20.5,16.34,0.0,59.85,4.0,0.5,0.35
1994,129,34.99,21.32,17.33,0.0,62.3,4.42,0.5,0.33
1994,130,35.65,22.0,18.3,0.0,63.49,4.5,0.5,0.31
1994,131,36.49,22.04,17.89,0.0,60.59,4.13,0.5,0.3
1994,132,37.98,21.67,16.67,0.0,56.51,3.39,0.49,0.29
1994,133,40.17,20.57,15.27,0.0,50.02,3.05,0.49,0.27
1994,134,40.53,22.15,11.98,0.0,38.32,3.31,0.49,0.25
1994,135,40.62,21.17,13.41,0.0,45.58,3.23,0.49,0.24
1994,136,38.47,22.78,17.31,0.0,57.22,3.49,0.49,0.23
1994,137,38.81,21.67,15.82,0.0,55.36,3.69,0.49,0.23
1994,138,37.92,21.55,14.95,0.0,53.6,3.96,0.49,0.22
1994,139,38.75,20.81,15.42,0.0,53.03,3.53,0.49,0.21
1994,140,39.93,20.66,16.12,0.0,53.4,3.4,0.49,0.21
1994,141,39.89,21.16,16.91,0.0,55.36,3.5,0.49,0.21
1994,142,39.35,22.35,17.32,0.0,56.66,4.4,0.49,0.2
1994,143,36.66,22.67,18.24,0.0,60.8,4.57,0.49,0.2
1994,144,37.53,21.53,18.33,0.0,61.15,4.51,0.49,0.2
1994,145,38.27,22.21,17.39,0.0,57.04,4.26,0.49,0.2
1994,146,38.66,21.6,18.05,0.0,59.16,3.46,0.49,0.19
1994,147,38.66,22.71,19.06,10.62,60.61,2.29,0.49,0.33
1994,148,35.21,23.19,20.85,6.48,67.65,1.54,0.5,0.56
1994,149,34.11,23.44,21.16,5.68,71.05,2.06,0.5,0.54
1994,150,32.34,23.15,21.55,0.58,73.96,3.15,0.51,0.51
1994,151,32.7,23.53,21.69,0.27,73.9,2.93,0.51,0.48
1994,152,31.1,23.49,21.52,1.69,75.59,2.45,0.5,0.49
1994,153,33.38,23.23,20.82,0.96,71.26,2.22,0.51,0.49
1994,154,34.05,23.43,20.76,1.43,69.49,2.36,0.5,0.47
1994,155,32.91,23.47,20.13,2.49,66.65,3.34,0.5,0.48
1994,156,29.89,23.9,21.82,17.74,79.64,3.57,0.51,0.59
1994,157,28.41,22.83,22.23,37.7,85.44,3.88,0.54,0.77
1994,158,30.35,21.84,21.06,7.08,79.33,3.83,0.56,0.65
1994,159,31.1,21.99,21.05,0.12,77.16,4.2,0.55,0.56
1994,160,31.92,22.4,21.68,0.27,79.95,3.8,0.55,0.54
1994,161,29.44,21.81,20.84,32.29,82.37,4.1,0.56,0.69
1994,162,29.71,21.79,21.43,11.52,82.59,3.22,0.58,0.71
1994,163,28.62,21.78,22.15,21.23,87.65,4.39,0.59,0.73
1994,164,26.52,23.69,22.91,33.95,90.51,5.94,0.62,0.84
1994,165,26.42,22.85,23.06,26.26,91.86,5.72,0.64,0.82
1994,166,25.76,22.75,22.53,24.78,91.42,6.1,0.66,0.83
1994,167,26.42,22.15,22.36,78.59,91.67,5.86,0.69,0.92
1994,168,25.9,21.94,21.62,50.91,88.86,4.35,0.73,0.93
1994,169,25.64,22.02,21.55,11.79,89.52,3.98,0.75,0.85
1994,170,26.74,22.31,21.65,7.73,87.14,4.44,0.75,0.81
1994,171,27.51,21.71,21.53,6.74,86.24,4.96,0.76,0.8
1994,172,28.32,21.99,21.36,1.52,85.05,5.13,0.75,0.77
1994,173,27.95,21.8,21.23,0.8,86.04,5.25,0.75,0.76
1994,174,27.86,22.16,21.48,1.19,85.45,5.49,0.75,0.75
1994,175,27.79,22.16,21.61,1.0,87.18,5.12,0.75,0.75
1994,176,28.35,22.17,21.52,0.87,85.7,5.0,0.74,0.74
1994,177,27.13,21.75,21.37,1.43,86.11,5.36,0.74,0.74
1994,178,26.52,21.95,21.19,3.49,87.41,5.55,0.74,0.76
1994,179,25.09,21.66,21.09,19.59,88.59,5.21,0.74,0.81
1994,180,24.43,22.32,22.16,67.81,93.7,5.15,0.78,0.96
1994,181,25.89,21.94,21.69,22.04,90.2,5.43,0.81,0.89
1994,182,27.38,21.86,21.53,12.12,87.73,5.83,0.82,0.86
1994,183,27.58,21.72,21.57,11.94,87.45,5.1,0.82,0.85
1994,184,25.78,21.39,21.24,7.45,89.38,4.21,0.82,0.85
1994,185,25.6,20.96,21.09,22.43,90.08,4.28,0.83,0.88
1994,186,24.69,20.26,20.65,21.1,90.18,4.39,0.84,0.9
1994,187,27.3,21.58,21.66,20.24,87.61,5.12,0.86,0.9
1994,188,27.22,22.13,21.73,7.14,87.42,5.26,0.86,0.87
1994,189,27.12,22.06,21.64,4.68,87.92,5.71,0.86,0.86
1994,190,26.77,21.9,21.54,4.82,88.2,6.06,0.86,0.86
1994,191,25.75,21.46,21.29,11.32,90.15,6.28,0.86,0.87
1994,192,24.93,22.3,21.94,10.6,92.77,6.43,0.87,0.88
1994,193,24.6,21.15,21.55,48.39,93.11,6.68,0.88,0.93
1994,194,23.04,20.8,20.76,66.59,94.09,7.8,0.91,0.98
1994,195,24.96,20.63,21.69,87.76,93.22,7.52,0.93,0.99
1994,196,25.86,21.73,22.0,38.92,91.8,7.17,0.95,0.97
1994,197,25.79,21.74,21.81,24.87,91.5,6.59,0.95,0.95
1994,198,25.95,21.64,21.64,19.23,90.74,5.79,0.96,0.95
1994,199,25.17,21.58,21.64,9.94,92.55,5.62,0.96,0.94
1994,200,25.64,21.81,21.79,8.19,91.8,6.0,0.96,0.94
1994,201,24.46,21.51,21.48,33.55,92.97,5.66,0.96,0.96
1994,202,24.13,21.97,21.77,27.76,93.93,5.83,0.96,0.97
1994,203,24.91,21.92,21.73,23.83,92.89,5.69,0.97,0.97
1994,204,25.16,21.78,21.82,19.77,92.71,5.09,0.97,0.97
1994,205,25.88,21.95,22.01,21.51,92.25,5.44,0.97,0.97
1994,206,25.8,21.27,21.62,17.62,92.12,5.66,0.97,0.96
1994,207,25.63,21.52,21.59,11.72,91.53,5.1,0.97,0.96
1994,208,26.2,21.29,21.64,4.5,91.72,5.04,0.96,0.94
1994,209,26.18,21.59,21.69,3.57,91.15,5.53,0.96,0.93
1994,210,26.03,21.69,21.82,7.46,91.66,5.98,0.96,0.93
1994,211,24.6,21.72,21.59,5.26,93.36,5.86,0.96,0.93
1994,212,24.49,21.27,21.2,2.71,92.9,5.84,0.95,0.92
1994,213,24.26,21.24,21.04,2.89,92.79,5.61,0.95,0.92
1994,214,25.91,21.2,21.14,2.37,90.31,5.93,0.95,0.92
1994,215,26.16,21.15,21.16,0.93,89.8,4.9,0.94,0.91
1994,216,25.43,20.8,20.86,0.99,90.68,4.54,0.94,0.91
1994,217,26.44,20.93,20.95,0.48,89.05,4.67,0.93,0.9
1994,218,26.39,20.71,20.78,0.06,89.43,4.38,0.93,0.9
1994,219,25.48,20.49,20.44,0.04,90.11,4.4,0.92,0.89
1994,220,25.64,20.64,20.64,0.02,89.85,4.67,0.92,0.89
1994,221,24.75,20.9,20.61,0.04,90.94,4.72,0.92,0.88
1994,222,24.92,20.57,20.45,0.11,89.77,5.41,0.91,0.88
1994,223,25.61,20.54,21.05,1.82,91.53,4.62,0.91,0.88
1994,224,24.76,21.05,21.17,11.19,92.78,4.51,0.91,0.9
1994,225,25.91,20.88,21.22,13.94,91.64,3.81,0.92,0.91
1994,226,27.34,20.69,21.35,8.42,89.74,3.93,0.92,0.9
1994,227,26.06,20.72,20.95,2.69,90.03,4.55,0.92,0.89
1994,228,22.7,20.74,20.54,1.28,93.68,4.97,0.91,0.89
1994,229,25.87,20.7,21.1,4.32,90.23,5.59,0.91,0.89
1994,230,26.12,21.32,21.22,5.56,90.85,4.88,0.91,0.89
1994,231,24.74,20.92,20.99,7.02,92.34,4.34,0.91,0.9
1994,232,26.56,20.47,21.16,4.64,89.83,4.05,0.91,0.89
1994,233,28.03,20.3,21.44,4.45,88.67,3.01,0.91,0.89
1994,234,26.25,21.01,21.49,1.99,90.19,2.86,0.9,0.88
1994,235,26.83,21.45,21.97,23.22,91.35,3.71,0.91,0.92
1994,236,25.26,21.57,21.59,16.65,92.69,4.13,0.92,0.92
1994,237,25.54,21.6,21.32,8.84,91.14,4.67,0.92,0.91
1994,238,25.89,21.44,21.39,4.61,90.92,5.48,0.92,0.9
1994,239,23.79,21.01,21.19,26.81,93.89,5.93,0.92,0.94
1994,240,25.75,21.03,21.03,21.75,90.97,5.74,0.94,0.94
1994,241,25.63,20.74,20.85,7.02,90.76,5.14,0.94,0.92
1994,242,24.27,20.66,20.78,7.94,92.59,5.27,0.94,0.92
1994,243,24.1,20.73,20.94,32.61,93.84,5.52,0.94,0.95
1994,244,23.45,20.84,20.85,21.36,93.97,6.17,0.95,0.95
1994,245,25.16,20.73,21.19,39.35,92.75,5.93,0.96,0.97
1994,246,25.31,20.82,20.93,12.83,91.84,5.52,0.96,0.95
1994,247,24.29,20.72,20.66,7.3,91.95,4.94,0.96,0.94
1994,248,25.58,21.11,21.53,8.2,92.05,4.77,0.96,0.94
1994,249,24.07,21.11,21.06,15.76,93.35,5.13,0.96,0.95
1994,250,24.87,21.04,21.11,10.52,93.05,5.32,0.96,0.95
1994,251,25.52,20.33,20.74,6.21,91.33,4.88,0.96,0.94
1994,252,26.14,20.09,20.69,3.66,90.84,4.24,0.95,0.92
1994,253,26.39,20.05,20.61,5.61,90.32,3.51,0.95,0.92
1994,254,26.49,19.27,20.61,5.82,90.46,2.53,0.95,0.92
1994,255,26.41,18.98,20.17,2.08,89.69,2.32,0.94,0.91
1994,256,25.93,18.01,19.16,0.48,88.61,2.17,0.94,0.9
1994,257,26.21,17.25,19.16,0.15,88.75,2.23,0.93,0.9
1994,258,26.5,18.15,19.81,0.08,88.9,2.55,0.93,0.89
1994,259,25.58,19.71,19.98,2.4,90.14,3.31,0.92,0.89
1994,260,25.39,19.3,19.75,12.28,90.57,3.59,0.92,0.91
1994,261,25.69,18.67,19.35,4.36,89.15,3.13,0.92,0.9
1994,262,25.14,16.98,18.92,4.66,89.64,2.95,0.92,0.89
1994,263,24.49,15.91,16.88,0.93,84.77,2.13,0.91,0.88
1994,264,25.73,15.08,15.42,0.04,78.04,1.2,0.91,0.87
1994,265,27.03,14.05,16.96,0.0,83.12,1.28,0.9,0.87
1994,266,28.17,15.9,18.6,0.0,82.07,1.62,0.9,0.86
1994,267,28.42,19.04,20.19,0.0,85.14,1.66,0.89,0.86
1994,268,27.76,18.38,19.37,0.0,85.36,1.47,0.89,0.85
1994,269,27.16,17.36,18.22,0.0,83.61,1.35,0.88,0.85
1994,270,28.19,18.5,19.93,0.24,85.92,1.03,0.88,0.85
1994,271,27.89,20.6,20.73,0.19,84.59,1.66,0.87,0.85
1994,272,28.67,19.68,19.9,0.68,81.53,1.56,0.87,0.84
1994,273,29.03,18.48,18.55,0.03,77.77,2.05,0.86,0.83
1994,274,29.17,17.76,19.1,0.0,77.97,2.01,0.86,0.83
1994,275,28.59,20.82,20.99,0.16,83.57,1.64,0.85,0.83
1994,276,26.82,20.25,20.67,0.51,85.59,1.32,0.85,0.83
1994,277,25.6,20.83,20.73,6.58,87.94,1.18,0.85,0.85
1994,278,28.49,19.51,19.85,10.87,82.06,1.43,0.85,0.86
1994,279,28.3,19.48,19.01,0.59,80.33,1.29,0.85,0.84
1994,280,28.56,19.14,18.72,0.61,78.77,1.85,0.85,0.83
1994,281,28.96,18.9,18.61,0.07,76.12,1.36,0.84,0.82
1994,282,29.39,18.55,19.26,0.0,78.95,1.45,0.84,0.82
1994,283,29.35,17.99,18.26,0.02,78.12,1.41,0.83,0.81
1994,284,29.11,18.09,18.58,0.0,79.81,1.29,0.83,0.81
1994,285,27.86,19.36,19.52,4.37,84.63,1.23,0.82,0.82
1994,286,26.66,19.64,19.51,1.81,86.21,1.44,0.82,0.81
1994,287,26.23,18.76,19.87,11.63,89.04,1.6,0.82,0.84
1994,288,27.38,17.78,18.9,1.69,85.72,1.25,0.82,0.82
1994,289,28.65,16.76,19.48,0.49,84.16,1.04,0.82,0.81
1994,290,27.57,20.13,20.37,47.68,84.61,2.63,0.83,0.87
1994,291,28.9,19.76,19.79,4.79,81.99,2.85,0.83,0.84
1994,292,28.58,18.0,19.5,0.31,81.92,2.38,0.83,0.82
1994,293,27.3,19.86,20.79,1.23,87.89,1.8,0.82,0.82
1994,294,26.64,19.35,20.41,12.17,88.53,1.39,0.82,0.85
1994,295,26.99,20.51,20.57,4.68,87.62,1.41,0.83,0.84
1994,296,27.58,19.35,20.3,7.99,86.62,2.03,0.83,0.85
1994,297,24.23,16.85,15.57,0.16,77.78,2.72,0.83,0.82
1994,298,28.28,17.29,18.52,1.13,80.87,2.83,0.83,0.82
1994,299,27.56,18.55,18.57,2.61,81.47,2.31,0.82,0.82
1994,300,28.01,17.34,16.67,0.07,75.6,2.72,0.82,0.81
1994,301,28.11,16.08,17.38,0.04,77.99,2.78,0.81,0.8
1994,302,23.17,19.13,17.27,0.13,81.85,2.86,0.81,0.8
1994,303,26.63,18.67,17.98,2.18,81.1,2.39,0.81,0.8
1994,304,27.46,17.48,17.89,0.29,79.49,3.08,0.81,0.79
1994,305,27.64,18.0,17.26,0.0,76.58,3.39,0.8,0.78
1994,306,27.16,16.9,15.65,0.0,75.1,3.81,0.8,0.77
1994,307,24.5,15.95,16.91,0.0,83.34,3.67,0.79,0.77
1994,308,27.22,18.09,18.92,0.0,83.85,3.5,0.79,0.77
1994,309,28.34,19.07,19.44,0.3,81.51,2.58,0.78,0.77
1994,310,28.56,19.12,19.45,0.05,81.08,2.25,0.78,0.76
1994,311,28.36,18.73,19.0,0.0,79.16,2.23,0.77,0.76
1994,312,28.14,18.68,18.43,0.0,78.12,2.26,0.77,0.75
1994,313,27.88,17.95,18.12,0.0,79.16,2.64,0.77,0.75
1994,314,28.13,18.12,17.55,0.04,77.18,2.92,0.76,0.74
1994,315,28.32,17.81,18.11,0.09,79.19,2.03,0.76,0.74
1994,316,27.88,17.48,18.65,0.0,80.22,1.43,0.75,0.74
1994,317,28.59,17.78,18.32,1.23,75.99,1.03,0.75,0.74
1994,318,28.16,18.19,18.83,0.22,81.27,1.77,0.75,0.73
1994,319,27.1,17.98,18.51,6.19,82.39,1.77,0.74,0.76
1994,320,27.2,18.6,18.17,0.28,80.42,2.57,0.74,0.74
1994,321,27.61,17.18,17.31,0.02,77.64,2.54,0.74,0.73
1994,322,27.69,17.49,17.3,0.03,76.72,2.61,0.73,0.72
1994,323,27.23,17.21,16.94,0.0,76.24,2.01,0.73,0.72
1994,324,27.38,14.62,14.66,0.0,70.75,1.46,0.73,0.72
1994,325,27.06,14.1,13.39,0.0,68.28,1.69,0.72,0.71
1994,326,26.52,14.03,12.28,0.0,67.26,2.48,0.72,0.7
1994,327,26.13,12.0,8.53,0.0,57.36,2.78,0.71,0.7
1994,328,25.83,12.17,10.58,0.0,65.33,3.34,0.71,0.69
1994,329,26.63,11.86,10.63,0.0,65.49,2.96,0.71,0.69
1994,330,26.81,12.19,10.61,0.0,62.78,2.45,0.7,0.69
1994,331,27.57,12.69,11.16,0.0,63.74,2.1,0.7,0.68
1994,332,27.99,12.59,11.52,0.0,62.37,1.76,0.69,0.68
1994,333,28.33,12.59,10.75,0.0,60.08,1.33,0.69,0.68
1994,334,27.42,11.62,9.26,0.0,58.45,1.37,0.69,0.67
1994,335,27.9,11.18,10.38,0.0,63.87,1.28,0.68,0.67
1994,336,28.18,10.72,10.06,0.0,60.92,1.55,0.68,0.67
1994,337,27.53,11.49,11.06,0.0,62.59,1.48,0.68,0.66
1994,338,27.35,11.9,11.09,0.0,60.09,1.46,0.67,0.66
1994,339,27.43,12.88,12.31,0.0,66.14,1.9,0.67,0.66
1994,340,26.75,13.03,11.72,0.0,66.53,2.08,0.67,0.65
1994,341,26.6,11.34,8.84,0.0,58.42,2.17,0.66,0.65
1994,342,26.7,10.64,8.54,0.0,55.54,1.52,0.66,0.64
1994,343,27.26,10.46,9.79,0.0,61.23,1.18,0.66,0.64
1994,344,26.75,10.34,11.76,0.0,74.47,1.31,0.65,0.64
1994,345,26.66,10.01,9.07,0.0,63.23,1.3,0.65,0.63
1994,346,27.16,9.59,7.88,0.0,56.61,1.45,0.65,0.62
1994,347,27.34,10.72,9.25,0.0,56.95,1.63,0.64,0.62
1994,348,27.13,11.26,10.25,0.0,63.42,1.6,0.64,0.62
1994,349,27.04,10.6,8.77,0.0,58.26,1.51,0.64,0.61
1994,350,27.16,11.42,8.64,0.0,54.79,2.14,0.63,0.61
1994,351,26.64,10.57,10.15,0.0,63.91,1.66,0.63,0.6
1994,352,27.21,11.23,9.85,0.0,58.71,1.67,0.63,0.6
1994,353,27.26,12.45,9.88,0.0,59.48,2.65,0.63,0.59
1994,354,26.96,12.08,8.23,0.0,54.6,2.77,0.62,0.58
1994,355,26.83,11.36,6.67,0.0,50.81,3.19,0.62,0.58
1994,356,26.21,10.6,3.79,0.0,45.15,3.19,0.62,0.57
1994,357,26.17,8.99,1.02,0.0,39.36,3.17,0.61,0.56
1994,358,26.71,9.21,2.0,0.0,40.67,2.95,0.61,0.55
1994,359,26.15,10.05,3.48,0.0,43.2,3.09,0.61,0.55
1994,360,26.72,10.8,4.39,0.0,44.09,3.08,0.6,0.54
1994,361,27.07,12.24,9.17,0.0,55.68,2.15,0.6,0.54
1994,362,23.37,14.24,11.27,0.0,64.46,1.12,0.6,0.55
1994,363,27.53,12.07,10.21,0.0,58.92,1.5,0.6,0.54
1994,364,27.74,12.87,9.14,0.0,55.98,1.88,0.6,0.54
1994,365,27.62,10.88,5.45,0.0,45.31,2.04,0.59,0.53
1995,1,28.01,9.72,5.16,0.0,46.38,1.53,0.59,0.52
1995,2,28.41,10.23,5.74,0.0,48.46,1.55,0.59,0.52
1995,3,27.41,11.53,6.32,0.0,50.96,1.5,0.59,0.51
1995,4,27.26,10.32,6.54,0.0,52.74,1.25,0.58,0.51
1995,5,27.56,10.58,8.86,0.0,56.39,1.7,0.58,0.5
1995,6,27.85,14.19,12.74,0.03,65.12,1.68,0.58,0.5
1995,7,26.63,15.18,15.18,1.61,76.18,1.95,0.58,0.51
1995,8,23.14,13.03,14.19,12.48,82.29,2.73,0.59,0.63
1995,9,23.5,9.98,9.08,0.0,69.21,1.26,0.59,0.58
